Feature1,Feature2,Feature3
21.334521741568395,69.12423218805178,27.144478271022944
21.836738758033764,67.62818946897612,26.956245920392167
21.59248592847633,68.28990382628494,27.320356133141143
21.567005362805446,68.26656614896652,26.93811663464569
21.72682799260987,68.30071734198904,26.691629948481875
21.631439510378662,68.46274607876173,26.970797863856294
21.396748908472137,69.15348248197905,26.90362004935157
21.377963734451605,68.13234176899631,26.86379271146547
21.42880040319917,68.6300569047958,26.89161006712176
21.53917488854673,69.37211393322103,27.019253288676243
21.422601242085193,68.947235540053,26.99199138242919
21.601854003297554,69.7168333039657,26.96501761021104
21.613057204551023,69.24578538978264,26.58253357980152
21.352358694466044,69.95590368523852,26.553807193453206
21.324608003410837,68.53384828005963,26.832189154147958
21.602100081052082,68.97869895159121,26.692480165576065
21.65128385637139,68.82525145469128,26.981351197998485
21.390282418229013,69.39484572236992,27.033426139899074
21.66141722847481,68.77285904525252,26.82190169053306
21.59546395483087,68.86165486924091,26.652554140894136
21.325770336476896,68.93044899914707,26.55838434203508
21.495096022974373,68.59096628529315,27.09360037971001
21.649625169256204,68.10010494636336,27.077930625454403
21.417999833416754,68.90548409596441,26.72264561237822
21.68185789584278,68.75448607222775,26.710584410568615
21.738854153880467,68.73087662560769,26.8405221468104
21.844778219694483,69.1072988460376,27.025325500653643
21.45276018452055,68.20922940714833,26.940970442090023
21.66994860608763,68.4292467499064,26.694913352583253
21.43911435765995,68.74847203825381,26.83349959139215
21.69804959166952,68.63392422278581,26.903579710976317
21.348431338861804,68.86688138334983,26.687800058333092
21.227179518458186,69.53463279616662,26.915847362963927
21.273531006213204,70.08407531352101,26.604996961534304
21.252169131071824,69.43536951916316,26.79010330154365
21.47084004221062,67.36149612516452,27.290050629206508
21.336450634766198,69.05984615716571,26.98713401202663
21.6466958974814,67.82621671867626,26.75129952860633
21.684132084763526,69.2202562985392,27.164430029729566
21.606089103761203,68.88400160577186,27.16628662132931
21.568034107621866,68.8897869084609,26.738165747181345
21.597168171737025,69.26076581398073,27.073294275888497
21.38007453991326,68.91704135131,26.873681490939024
21.22094574519718,69.49196755847069,26.908379562490467
21.32667492487114,69.50374138009242,26.653266932331235
21.575047407150098,68.59811200971608,27.196893312917073
21.483890653860733,68.74252288389795,26.835818132120018
21.015553736831343,69.65490657155924,26.500422998974692
21.58888584390609,68.24074297379967,27.317214792802876
21.815898786349315,68.87243709326789,26.968214433041556
21.473626850994595,69.97060500540914,26.538939343038912
21.5303072829451,67.1691299127226,27.158310124067743
21.51653919206313,69.35959732856752,26.749483526804315
21.62269893206289,67.75534721707749,26.917567551508963
21.44519161153558,69.02990433389145,26.941259446108344
21.457604095304063,68.35200583902575,26.752572707766056
21.892592152160574,67.34995334067884,27.037587134771094
21.485817985412076,69.16168401399841,26.787093046454444
21.40591094661607,68.38315328936199,27.04389932420418
21.341767703033003,68.08690510996094,26.88782122812841
21.54237323727798,68.37829246368332,27.042708746934565
21.500753758542377,68.5158387035976,26.922796701069924
21.289512086586047,69.75376752731465,27.06664629719236
21.400730028670438,69.73719437197406,26.414745465530828
21.704835865524096,69.03233175487726,27.155055210976244
21.283887955650183,67.88350152261668,26.907623931146823
21.740603120853446,68.64372027268223,26.900212405578447
21.440403796552708,68.4512509961584,26.805414129785486
21.44512127951784,68.2762892515266,26.82683055791999
21.730161939372028,67.06945640782925,27.290338490213667
21.133379028285642,68.14242292945933,26.812299375372973
21.418669814825382,69.15895111827969,26.56476786110201
21.367148517915606,69.06982873109054,26.831756643400755
21.611395128790555,69.093271411104,26.779036817174582
21.626903210363313,68.67134521710582,27.06746942121485
21.54702153252368,68.9704211893008,26.939031067092756
21.503179368147308,69.60540811663351,26.594400275105425
21.377226110458682,69.5429476888436,26.741852084720865
21.449116952799653,69.075131044184,27.057809860105785
21.60287627350596,68.487202091596,26.97289056549311
21.59170578870163,68.62938666371528,26.894820811258146
21.399972336500966,68.60636035284412,26.879655830018777
21.408627519355928,68.94476501268012,26.859636124663066
21.742620016700485,69.03237305410181,26.86685257303927
21.563052973021275,68.97075326772506,26.911680622288536
21.72935949104926,68.07373223418865,26.77940626555123
21.403796506840642,69.01679936896744,26.874525603253552
21.673358186404933,67.56338527956045,27.149891883878716
21.98330920668356,68.32277309828335,27.267818263876674
21.392028876382355,68.9294585094726,26.716932564356107
21.6744395364106,68.71498375337458,26.819723145503854
21.38610541354529,68.4907013587335,27.11915047249627
21.53686234983158,69.10475405510043,27.076303233955898
21.242782463566986,69.45971238782685,26.992021794873544
21.617404147534213,68.88065839975388,26.883348533872816
21.62223595284827,67.90804813307597,26.83830853446838
21.722581685025613,68.80769030242558,27.01868565918508
21.59876018200353,69.13512910804405,26.72535583663624
21.64886381070151,68.96451747744035,26.959307320310874
21.537886732450794,68.68544413192056,26.958891627918206
21.348153323324837,69.79589700118719,27.190513653121297
21.557084576773278,68.66977384042553,26.861897619849675
21.48381326913591,68.55083862503992,26.902556388657427
21.549778795928646,68.94075041167419,26.666479026525973
21.68811396737288,68.81303442411519,27.10594350777053
21.269327505292004,69.62467497835829,26.95390979828059
